Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status,rasio_sem1,rasio_sem2,band_sem1,band_sem2,spp,prodi,status_spp,kelas,gender,beasiswa,debitur,pernikahan,kelompok_usia,sel_progresi,arah_progresi,kelompok_tersembunyi,tahap_funnel,is_dropout,risiko_sem1,risiko_sem2,tingkat_risiko,pendapatan_berisiko
1,17,2,9147,1,1,125.0,1,38,38,6,8,114.5,1,0,0,1,0,1,19,0,0,5,6,5,13.4,0,0,5,5,5,12.4,0,12.4,0.5,1.79,Graduate,1.0,1.0,>80%,>80%,Lunas,Management,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0058,0.0017,Rendah,0.0
1,1,1,9500,1,1,141.0,1,1,1,90,3,127.8,0,0,0,1,0,1,19,0,0,7,7,0,0.0,2,0,7,7,0,0.0,2,7.6,2.6,0.32,Dropout,0.0,0.0,0%,0%,Lunas,Nursing,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,<=20 th,Sem1 0% -> Sem2 0%,Stabil,Tidak,1. Gugur di Semester 1,1,0.9618,0.996,Tinggi,0.0
1,1,1,9773,1,1,140.0,1,1,19,4,8,124.6,1,0,0,1,0,0,19,0,0,6,7,5,14.2,0,0,6,7,6,14.571428571428571,0,15.5,2.8,-4.06,Graduate,0.8333,1.0,>80%,>80%,Lunas,Journalism & Comm,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Membaik,Tidak,3. Lolos Dua Semester,0,0.1606,0.02,Rendah,0.0
1,1,6,9500,1,1,144.0,1,19,19,5,5,130.3,1,0,0,1,0,1,18,0,0,8,8,7,13.814285714285717,0,0,8,8,7,13.814285714285717,0,12.7,3.7,-1.7,Graduate,0.875,0.875,>80%,>80%,Lunas,Nursing,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0723,0.0496,Rendah,0.0
1,17,1,9254,1,1,122.0,1,19,19,5,5,118.2,0,0,0,1,0,1,20,0,0,6,10,4,11.25,0,0,6,6,6,10.5,0,12.4,0.5,1.79,Enrolled,0.6667,1.0,50-80%,>80%,Lunas,Tourism,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,<=20 th,Sem1 50-80% -> Sem2 >80%,Membaik,Tidak,3. Lolos Dua Semester,0,0.5016,0.1246,Rendah,3738000.0
1,1,1,9670,1,1,130.0,1,19,37,4,5,118.8,0,0,0,1,0,1,18,0,0,6,6,6,14.5,0,0,6,8,6,13.666666666666666,0,12.7,3.7,-1.7,Graduate,1.0,1.0,>80%,>80%,Lunas,Advertising & Marketing,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0056,0.002,Rendah,0.0
1,1,5,9670,1,1,133.1,1,9,1,2,4,133.0,1,0,0,1,0,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,7.6,2.6,0.32,Dropout,0.0,0.0,0%,0%,Lunas,Advertising & Marketing,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 0% -> Sem2 0%,Stabil,Tidak,1. Gugur di Semester 1,1,0.9958,0.9923,Tinggi,0.0
2,39,1,9500,1,19,133.1,1,37,37,9,9,129.0,1,0,0,1,0,0,36,0,0,7,7,6,11.3,0,0,7,7,6,11.3,0,7.6,2.6,0.32,Graduate,0.8571,0.8571,>80%,>80%,Lunas,Nursing,Lunas,Pagi,Perempuan,Tidak,Tidak,Menikah,31-40 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.2155,0.0499,Rendah,0.0
1,43,1,9556,1,1,147.0,1,3,4,3,2,100.0,0,0,0,1,0,0,18,0,0,2,2,0,0.0,0,0,4,4,1,16.0,0,10.8,1.4,1.74,Enrolled,0.0,0.25,0%,1-50%,Lunas,Oral Hygiene,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 0% -> Sem2 1-50%,Membaik,Tidak,1. Gugur di Semester 1,0,0.9668,0.9977,Tinggi,29931000.0
1,43,1,9130,1,1,127.0,1,19,38,4,5,120.7,1,0,1,1,0,0,18,0,0,5,11,1,12.0,0,0,5,9,3,12.0,0,12.7,3.7,-1.7,Enrolled,0.2,0.6,1-50%,50-80%,Lunas,Equinculture,Lunas,Pagi,Perempuan,Tidak,Ya,Belum Menikah,<=20 th,Sem1 1-50% -> Sem2 50-80%,Membaik,Tidak,1. Gugur di Semester 1,0,0.9878,0.9846,Tinggi,29538000.0
1,17,6,9500,1,1,136.0,1,19,38,9,3,132.5,1,0,0,1,0,0,19,0,0,8,9,7,12.3,0,0,8,9,7,12.3,0,12.7,3.7,-1.7,Graduate,0.875,0.875,>80%,>80%,Lunas,Nursing,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0538,0.0226,Rendah,0.0
1,1,5,9500,1,1,127.0,1,19,19,7,8,120.3,1,0,0,1,0,1,18,0,0,8,8,7,12.694285714285714,0,0,8,8,7,12.694285714285714,0,10.8,1.4,1.74,Graduate,0.875,0.875,>80%,>80%,Lunas,Nursing,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0083,0.0032,Rendah,0.0
1,17,1,9670,1,1,123.0,1,19,19,1,1,114.6,0,0,0,1,0,0,18,0,0,5,5,4,11.0,0,0,5,5,4,11.0,0,9.4,-0.8,-3.12,Graduate,0.8,0.8,50-80%,50-80%,Lunas,Advertising & Marketing,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 50-80% -> Sem2 50-80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0675,0.0308,Rendah,0.0
1,1,1,9238,1,1,128.0,1,37,19,9,3,116.5,1,0,0,1,0,1,19,0,0,6,6,6,13.0,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate,1.0,1.0,>80%,>80%,Lunas,Social Service,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0098,0.003,Rendah,0.0
1,1,1,9500,1,1,128.0,1,3,1,2,1,127.8,0,0,0,1,0,1,19,0,0,7,8,7,14.4125,0,0,8,8,8,16.05,0,13.9,-0.3,0.79,Graduate,1.0,1.0,>80%,>80%,Lunas,Nursing,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0334,0.0151,Rendah,0.0
1,1,2,9500,1,1,140.0,1,1,19,7,7,129.9,1,0,0,1,0,0,18,0,0,7,8,7,12.92875,0,0,8,8,8,14.0625,0,15.5,2.8,-4.06,Dropout,1.0,1.0,>80%,>80%,Lunas,Nursing,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,1,0.0114,0.0037,Rendah,0.0
1,1,2,9773,1,1,121.0,1,1,19,9,7,118.9,1,0,0,1,0,0,20,0,0,6,6,6,13.333333333333334,0,0,6,10,5,12.8,0,11.1,0.6,2.02,Graduate,1.0,0.8333,>80%,>80%,Lunas,Journalism & Comm,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Memburuk,Tidak,3. Lolos Dua Semester,0,0.0603,0.0567,Rendah,0.0
1,1,3,9254,1,1,122.0,1,19,38,3,10,114.3,1,0,0,1,0,1,20,0,0,6,8,5,12.8,0,0,6,9,5,12.8,0,12.4,0.5,1.79,Enrolled,0.8333,0.8333,>80%,>80%,Lunas,Tourism,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0237,0.0022,Rendah,66000.0
1,18,1,9500,1,1,126.0,1,38,37,5,5,114.8,1,0,0,1,0,0,20,0,0,8,8,7,14.402857142857142,0,0,8,8,7,14.402857142857142,0,10.8,1.4,1.74,Graduate,0.875,0.875,>80%,>80%,Lunas,Nursing,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0068,0.0016,Rendah,0.0
1,1,4,9500,1,1,135.0,1,37,37,9,8,123.0,1,0,0,1,0,1,18,0,0,8,8,7,13.381428571428572,0,0,8,8,7,13.381428571428572,0,10.8,1.4,1.74,Graduate,0.875,0.875,>80%,>80%,Lunas,Nursing,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0121,0.0033,Rendah,0.0
1,1,2,9500,1,1,131.0,1,19,19,7,5,122.1,1,0,0,1,0,0,18,0,0,7,8,7,14.13125,0,0,8,8,8,13.98375,0,15.5,2.8,-4.06,Graduate,1.0,1.0,>80%,>80%,Lunas,Nursing,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0154,0.0129,Rendah,0.0
1,17,4,9085,1,1,140.0,1,19,37,4,7,123.7,0,0,0,1,0,0,19,0,0,5,11,5,11.714285714285714,2,0,5,6,5,12.6,0,9.4,-0.8,-3.12,Graduate,1.0,1.0,>80%,>80%,Lunas,Veterinary Nursing,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0188,0.0087,Rendah,0.0
1,1,3,9147,1,1,131.0,1,19,38,9,7,132.4,1,0,0,1,0,0,19,0,0,5,5,5,11.8,0,0,5,8,4,11.25,0,9.4,-0.8,-3.12,Enrolled,1.0,0.8,>80%,50-80%,Lunas,Management,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 50-80%,Memburuk,Tidak,3. Lolos Dua Semester,0,0.0339,0.0156,Rendah,468000.0
2,39,1,8014,0,1,130.0,1,34,34,99,99,114.8,0,0,0,1,0,0,44,0,0,6,9,6,11.166666666666666,0,1,6,15,2,11.0,1,7.6,2.6,0.32,Graduate,1.0,0.3333,>80%,1-50%,Lunas,Social Service (malam),Lunas,Malam,Perempuan,Tidak,Tidak,Menikah,>40 th,Sem1 >80% -> Sem2 1-50%,Memburuk,Ya,2. Gugur di Semester 2,0,0.0119,0.1452,Rendah,0.0
1,7,1,9003,1,3,130.0,1,38,37,5,6,130.0,0,0,0,1,0,0,32,0,0,6,7,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout,0.0,0.0,0%,0%,Lunas,Agronomy,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,31-40 th,Sem1 0% -> Sem2 0%,Stabil,Tidak,1. Gugur di Semester 1,1,0.9974,0.9987,Tinggi,0.0
1,43,1,9853,1,1,140.0,1,37,19,9,8,122.3,0,0,0,1,0,0,22,0,0,6,9,5,13.6,0,0,6,8,5,12.0,0,12.7,3.7,-1.7,Dropout,0.8333,0.8333,>80%,>80%,Lunas,Basic Education,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,21-25 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,1,0.6987,0.7637,Tinggi,0.0
2,39,1,9003,1,1,130.0,1,1,19,4,9,152.4,1,0,0,1,0,0,36,0,4,12,14,12,13.846153846153848,0,5,12,18,11,14.090909090909092,0,8.9,1.4,3.51,Graduate,1.0,0.9167,>80%,>80%,Lunas,Agronomy,Lunas,Pagi,Perempuan,Tidak,Tidak,Menikah,31-40 th,Sem1 >80% -> Sem2 >80%,Memburuk,Tidak,3. Lolos Dua Semester,0,0.0118,0.0183,Rendah,0.0
1,17,1,9773,1,1,125.0,1,37,37,5,7,120.1,0,0,0,1,0,1,18,0,0,6,7,6,12.5,0,0,6,8,6,13.333333333333334,0,16.2,0.3,-0.92,Graduate,1.0,1.0,>80%,>80%,Lunas,Journalism & Comm,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0391,0.007,Rendah,0.0
1,1,1,9130,1,1,160.0,1,3,3,3,2,155.1,1,0,0,1,0,0,20,0,0,5,5,5,16.4,0,0,5,5,5,14.6,0,12.7,3.7,-1.7,Graduate,1.0,1.0,>80%,>80%,Lunas,Equinculture,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0906,0.0464,Rendah,0.0
1,51,1,9070,1,1,130.0,1,19,19,5,7,124.5,0,0,0,1,0,1,20,0,5,11,11,11,13.818181818181818,0,5,11,11,11,13.454545454545457,0,11.1,0.6,2.02,Graduate,1.0,1.0,>80%,>80%,Lunas,Communication Design,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0405,0.0055,Rendah,0.0
1,17,1,9238,1,1,144.0,1,3,1,2,3,126.9,0,0,0,1,0,0,19,0,0,6,8,5,10.6,0,0,6,11,4,10.5,0,15.5,2.8,-4.06,Graduate,0.8333,0.6667,>80%,50-80%,Lunas,Social Service,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 50-80%,Memburuk,Tidak,3. Lolos Dua Semester,0,0.042,0.0782,Rendah,0.0
1,39,1,9147,1,19,133.1,1,3,1,3,5,153.2,1,0,1,1,0,0,24,0,0,5,8,5,10.2,0,0,5,6,5,12.2,0,12.4,0.5,1.79,Graduate,1.0,1.0,>80%,>80%,Lunas,Management,Lunas,Pagi,Perempuan,Tidak,Ya,Belum Menikah,21-25 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.2307,0.3085,Sedang,0.0
1,17,1,9238,1,1,148.0,1,1,1,4,9,129.8,0,0,0,1,0,0,20,0,0,6,11,5,10.6,0,0,6,11,4,10.4,0,15.5,2.8,-4.06,Enrolled,0.8333,0.6667,>80%,50-80%,Lunas,Social Service,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 50-80%,Memburuk,Tidak,3. Lolos Dua Semester,0,0.0547,0.3925,Sedang,11775000.0
1,43,1,8014,0,1,133.1,1,3,3,2,3,135.0,0,0,0,1,0,0,27,0,7,10,10,9,11.444444444444445,0,4,11,11,5,10.8,0,10.8,1.4,1.74,Dropout,0.9,0.4545,>80%,1-50%,Lunas,Social Service (malam),Lunas,Malam,Perempuan,Tidak,Tidak,Belum Menikah,26-30 th,Sem1 >80% -> Sem2 1-50%,Memburuk,Ya,2. Gugur di Semester 2,1,0.0221,0.7349,Tinggi,0.0
1,1,1,9853,1,1,133.0,1,1,38,5,10,131.3,1,0,0,1,0,0,20,0,0,6,9,5,14.333333333333334,0,4,8,8,8,12.625,0,15.5,2.8,-4.06,Enrolled,0.8333,1.0,>80%,>80%,Lunas,Basic Education,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Membaik,Tidak,3. Lolos Dua Semester,0,0.5249,0.0694,Rendah,2082000.0
1,43,6,9238,1,1,129.0,1,34,34,0,0,125.2,0,0,0,1,0,1,23,0,15,16,18,16,13.0,0,11,13,15,13,13.266666666666667,0,9.4,-0.8,-3.12,Graduate,1.0,1.0,>80%,>80%,Lunas,Social Service,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,21-25 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.1003,0.0385,Rendah,0.0
1,1,5,9500,1,1,144.0,1,19,38,4,8,141.3,1,0,0,1,0,1,18,0,0,8,9,8,13.31,1,0,8,9,8,13.31,1,9.4,-0.8,-3.12,Graduate,1.0,1.0,>80%,>80%,Lunas,Nursing,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0265,0.0154,Rendah,0.0
1,17,1,9238,1,1,120.0,1,37,37,4,9,117.1,1,0,0,1,0,1,18,0,0,6,10,5,10.571428571428571,1,0,6,9,5,12.2,0,12.7,3.7,-1.7,Graduate,0.8333,0.8333,>80%,>80%,Lunas,Social Service,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0515,0.0135,Rendah,0.0
1,17,3,9500,1,1,144.0,1,1,37,9,9,126.5,1,0,0,1,0,1,20,0,0,8,8,7,13.487142857142857,0,0,8,8,7,13.487142857142857,0,10.8,1.4,1.74,Graduate,0.875,0.875,>80%,>80%,Lunas,Nursing,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0454,0.0162,Rendah,0.0
1,1,1,9254,1,1,132.0,1,19,38,9,7,120.1,0,0,0,1,0,1,20,0,0,6,6,6,12.333333333333334,0,0,6,7,6,11.833333333333334,0,13.9,-0.3,0.79,Graduate,1.0,1.0,>80%,>80%,Lunas,Tourism,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0141,0.0043,Rendah,0.0
1,1,1,9670,1,1,142.0,1,38,19,7,10,128.4,0,0,0,1,0,0,23,0,0,6,11,6,11.875,0,0,6,9,5,12.833333333333334,0,11.1,0.6,2.02,Dropout,1.0,0.8333,>80%,>80%,Lunas,Advertising & Marketing,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,21-25 th,Sem1 >80% -> Sem2 >80%,Memburuk,Tidak,3. Lolos Dua Semester,1,0.5769,0.8436,Tinggi,0.0
1,1,2,9500,1,1,136.0,1,19,19,9,9,140.0,1,0,0,1,0,0,20,0,0,7,7,6,13.966666666666669,0,0,7,7,6,13.966666666666669,0,7.6,2.6,0.32,Graduate,0.8571,0.8571,>80%,>80%,Lunas,Nursing,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0193,0.0054,Rendah,0.0
1,39,1,9254,1,9,133.1,1,34,34,0,0,110.0,1,0,0,0,0,0,28,0,0,5,10,0,0.0,0,0,5,10,0,0.0,0,7.6,2.6,0.32,Dropout,0.0,0.0,0%,0%,Menunggak,Tourism,Menunggak,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,26-30 th,Sem1 0% -> Sem2 0%,Stabil,Tidak,1. Gugur di Semester 1,1,0.9998,0.9994,Tinggi,0.0
1,1,1,9670,1,1,122.0,1,1,19,3,5,116.8,1,0,0,1,0,0,21,0,0,5,8,4,11.5,0,0,5,5,5,12.8,0,7.6,2.6,0.32,Graduate,0.8,1.0,50-80%,>80%,Lunas,Advertising & Marketing,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,21-25 th,Sem1 50-80% -> Sem2 >80%,Membaik,Tidak,3. Lolos Dua Semester,0,0.1305,0.0103,Rendah,0.0
1,1,2,9556,1,1,133.1,1,19,19,9,9,104.5,1,0,0,1,0,0,21,0,0,2,2,2,12.5,0,0,7,0,0,0.0,0,12.4,0.5,1.79,Dropout,1.0,0.0,>80%,0%,Lunas,Oral Hygiene,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,21-25 th,Sem1 >80% -> Sem2 0%,Memburuk,Ya,2. Gugur di Semester 2,1,0.6943,0.9933,Tinggi,0.0
1,7,1,9500,1,3,140.0,1,34,34,0,0,140.0,0,0,0,1,0,0,28,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,7.6,2.6,0.32,Dropout,0.0,0.0,0%,0%,Lunas,Nursing,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,26-30 th,Sem1 0% -> Sem2 0%,Stabil,Tidak,1. Gugur di Semester 1,1,0.999,0.9995,Tinggi,0.0
1,1,1,9500,1,1,117.0,1,3,1,3,3,113.2,0,1,0,1,0,0,18,0,0,7,10,6,11.98,0,0,8,11,7,13.225,0,16.2,0.3,-0.92,Graduate,0.8571,0.875,>80%,>80%,Lunas,Nursing,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0541,0.015,Rendah,0.0
1,17,1,9238,1,1,128.0,1,38,19,191,175,118.6,1,0,0,1,0,1,21,0,0,6,8,5,13.2,0,0,6,7,5,11.8,0,8.9,1.4,3.51,Enrolled,0.8333,0.8333,>80%,>80%,Lunas,Social Service,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,21-25 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0218,0.0106,Rendah,318000.0
1,1,1,9500,1,1,136.0,1,1,1,4,4,123.8,0,0,0,1,0,0,19,0,0,7,10,6,11.614285714285714,0,0,8,8,8,14.0375,0,13.9,-0.3,0.79,Graduate,0.8571,1.0,>80%,>80%,Lunas,Nursing,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Membaik,Tidak,3. Lolos Dua Semester,0,0.1089,0.0198,Rendah,0.0
1,18,6,9500,1,1,141.0,1,1,19,1,1,126.7,1,0,0,1,0,1,18,0,0,8,8,7,14.314285714285717,0,0,8,8,7,14.314285714285717,0,12.7,3.7,-1.7,Graduate,0.875,0.875,>80%,>80%,Lunas,Nursing,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0142,0.011,Rendah,0.0
1,1,3,9500,1,1,130.0,1,3,1,2,5,133.8,0,0,0,1,0,0,19,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,7.6,2.6,0.32,Dropout,0.0,0.0,0%,0%,Lunas,Nursing,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 0% -> Sem2 0%,Stabil,Tidak,1. Gugur di Semester 1,1,0.9863,0.9989,Tinggi,0.0
1,44,1,9085,1,39,140.0,1,38,38,9,7,140.0,0,0,0,1,0,0,20,0,2,6,9,6,12.666666666666666,0,1,6,12,2,13.0,0,13.9,-0.3,0.79,Enrolled,1.0,0.3333,>80%,1-50%,Lunas,Veterinary Nursing,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 1-50%,Memburuk,Ya,2. Gugur di Semester 2,0,0.0653,0.6627,Tinggi,19881000.0
1,1,3,9500,1,1,102.0,1,1,19,9,5,100.6,1,0,0,1,0,1,20,0,0,7,9,6,12.766666666666666,0,0,8,10,7,12.128571428571428,0,12.4,0.5,1.79,Graduate,0.8571,0.875,>80%,>80%,Lunas,Nursing,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0107,0.0012,Rendah,0.0
1,17,1,9853,1,1,126.0,1,1,37,7,9,132.7,0,0,0,1,0,1,18,0,0,6,7,6,12.666666666666666,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Graduate,1.0,0.8333,>80%,>80%,Lunas,Basic Education,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Memburuk,Tidak,3. Lolos Dua Semester,0,0.1336,0.1145,Rendah,0.0
1,43,2,9670,1,1,125.0,1,38,19,4,3,106.6,1,0,0,1,0,0,20,0,4,6,7,6,11.5,0,0,6,10,4,10.571428571428571,0,10.8,1.4,1.74,Dropout,1.0,0.6667,>80%,50-80%,Lunas,Advertising & Marketing,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 50-80%,Memburuk,Tidak,3. Lolos Dua Semester,1,0.7335,0.9307,Tinggi,0.0
1,39,1,9670,1,1,120.0,1,1,19,5,4,140.4,0,0,0,1,0,0,31,0,2,6,13,5,11.4,0,0,6,14,4,11.75,0,13.9,-0.3,0.79,Dropout,0.8333,0.6667,>80%,50-80%,Lunas,Advertising & Marketing,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,31-40 th,Sem1 >80% -> Sem2 50-80%,Memburuk,Tidak,3. Lolos Dua Semester,1,0.8897,0.9653,Tinggi,0.0
1,17,3,9500,1,1,132.0,1,37,37,9,7,128.3,1,0,0,1,0,1,19,0,0,7,8,7,14.70625,0,0,8,8,8,14.4775,0,15.5,2.8,-4.06,Graduate,1.0,1.0,>80%,>80%,Lunas,Nursing,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0086,0.0027,Rendah,0.0
1,1,3,9500,1,1,128.0,1,38,38,5,5,118.6,1,0,0,1,0,1,19,0,0,7,9,6,11.814285714285717,0,0,8,8,7,13.542857142857144,0,13.9,-0.3,0.79,Graduate,0.8571,0.875,>80%,>80%,Lunas,Nursing,Lunas,Pagi,Perempuan,Ya,Tidak,Belum Menikah,<=20 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0523,0.0116,Rendah,0.0
1,1,1,9070,1,1,115.0,1,19,1,3,8,123.4,0,0,0,1,0,0,23,0,1,6,8,6,13.0,1,0,6,8,6,11.875,0,13.9,-0.3,0.79,Graduate,1.0,1.0,>80%,>80%,Lunas,Communication Design,Lunas,Pagi,Perempuan,Tidak,Tidak,Belum Menikah,21-25 th,Sem1 >80% -> Sem2 >80%,Stabil,Tidak,3. Lolos Dua Semester,0,0.0962,0.0303,Rendah,0.0
